id clazz
0 net.earthcomputer.multiconnect.packets.SPacketEntitySpawn
1 net.earthcomputer.multiconnect.packets.SPacketExperienceOrbSpawn
2 net.earthcomputer.multiconnect.packets.SPacketEntitySpawnGlobal
3 net.earthcomputer.multiconnect.packets.SPacketMobSpawn
4 net.earthcomputer.multiconnect.packets.SPacketPaintingSpawn
5 net.earthcomputer.multiconnect.packets.SPacketPlayerSpawn
6 net.earthcomputer.multiconnect.packets.SPacketEntityAnimation
7 net.earthcomputer.multiconnect.packets.SPacketStatistics
8 net.earthcomputer.multiconnect.packets.SPacketBlockBreakingProgress
9 net.earthcomputer.multiconnect.packets.v1_17_1.SPacketBlockEntityUpdate_1_17_1
10 net.earthcomputer.multiconnect.packets.SPacketBlockEvent
11 net.earthcomputer.multiconnect.packets.SPacketBlockUpdate
12 net.earthcomputer.multiconnect.packets.SPacketBossBar
13 net.earthcomputer.multiconnect.packets.SPacketDifficulty
14 net.earthcomputer.multiconnect.packets.SPacketGameMessage
15 net.earthcomputer.multiconnect.packets.SPacketChunkDeltaUpdate
16 net.earthcomputer.multiconnect.packets.SPacketCommandSuggestions
17 net.earthcomputer.multiconnect.packets.SPacketCommandTree
18 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketAckScreenAction_1_16_5
19 net.earthcomputer.multiconnect.packets.SPacketCloseScreen
20 net.earthcomputer.multiconnect.packets.SPacketGuiOpen
21 net.earthcomputer.multiconnect.packets.v1_17.SPacketInventory_1_17
22 net.earthcomputer.multiconnect.packets.SPacketScreenHandlerPropertyUpdate
23 net.earthcomputer.multiconnect.packets.v1_17.SPacketScreenHandlerSlotUpdate_1_17
24 net.earthcomputer.multiconnect.packets.SPacketCooldownUpdate
25 net.earthcomputer.multiconnect.packets.SPacketCustomPayload
26 net.earthcomputer.multiconnect.packets.SPacketPlaySoundId
27 net.earthcomputer.multiconnect.packets.SPacketDisconnect
28 net.earthcomputer.multiconnect.packets.SPacketEntityStatus
29 net.earthcomputer.multiconnect.packets.SPacketNbtQueryResponse
30 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketExplosion_1_16_5
31 net.earthcomputer.multiconnect.packets.SPacketUnloadChunk
32 net.earthcomputer.multiconnect.packets.SPacketGameStateChange
33 net.earthcomputer.multiconnect.packets.SPacketKeepAlive
34 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketChunkData_1_16_5
35 net.earthcomputer.multiconnect.packets.SPacketWorldEvent
36 net.earthcomputer.multiconnect.packets.SPacketParticle
37 net.earthcomputer.multiconnect.packets.v1_17_1.SPacketGameJoin_1_17_1
38 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketMapUpdate_1_16_5
39 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketEntity_1_16_5
40 net.earthcomputer.multiconnect.packets.SPacketEntityMoveRelative
41 net.earthcomputer.multiconnect.packets.SPacketEntityRotateAndMoveRelative
42 net.earthcomputer.multiconnect.packets.SPacketEntityRotate
43 net.earthcomputer.multiconnect.packets.SPacketVehicleMove
44 net.earthcomputer.multiconnect.packets.SPacketSignEditorOpen
45 net.earthcomputer.multiconnect.packets.SPacketCraftFailedResponse
46 net.earthcomputer.multiconnect.packets.SPacketPlayerAbilities
47 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketCombatEvent_1_16_5
48 net.earthcomputer.multiconnect.packets.SPacketPlayerList
49 net.earthcomputer.multiconnect.packets.SPacketLookAt
50 net.earthcomputer.multiconnect.packets.v1_16_5.SPacketPlayerPositionLook_1_16_5
51 net.earthcomputer.multiconnect.packets.SPacketUseBed
52 net.earthcomputer.multiconnect.packets.SPacketUnlockRecipes
